2025-11-12 22:17:05,052 - WARNING - DROID ran for /home/pablomh/Projects/droid/Pinguiniando.mp4 but did not produce an output CSV.
2025-11-13 19:32:47,212 - WARNING - DROID ran for /home/pablomh/Projects/droid/Pinguiniando.mp4 but did not produce an output CSV.
2025-11-13 19:45:38,048 - WARNING - Could not find required columns in DROID output for /home/pablomh/Projects/droid/Pinguiniando.mp4. Header: ['"PUID"']
2025-11-13 19:59:12,267 - WARNING - model_to_presidio_entity_mapping is missing from configuration, using default
2025-11-13 19:59:12,267 - WARNING - low_score_entity_names is missing from configuration, using default
2025-11-13 19:59:12,267 - WARNING - labels_to_ignore is missing from configuration, using default
2025-11-13 19:59:23,189 - WARNING - model_to_presidio_entity_mapping is missing from configuration, using default
2025-11-13 19:59:23,190 - WARNING - low_score_entity_names is missing from configuration, using default
2025-11-13 19:59:23,190 - WARNING - labels_to_ignore is missing from configuration, using default
2025-11-13 19:59:23,503 - WARNING - Recognizer not added to registry because language is not supported by registry - CreditCardRecognizer supported languages: es, registry supported languages: en
2025-11-13 19:59:23,503 - WARNING - Recognizer not added to registry because language is not supported by registry - CreditCardRecognizer supported languages: it, registry supported languages: en
2025-11-13 19:59:23,503 - WARNING - Recognizer not added to registry because language is not supported by registry - CreditCardRecognizer supported languages: pl, registry supported languages: en
2025-11-13 19:59:23,503 - WARNING - Recognizer not added to registry because language is not supported by registry - EsNifRecognizer supported languages: es, registry supported languages: en
2025-11-13 19:59:23,503 - WARNING - Recognizer not added to registry because language is not supported by registry - EsNieRecognizer supported languages: es, registry supported languages: en
2025-11-13 19:59:23,504 - WARNING - Recognizer not added to registry because language is not supported by registry - ItDriverLicenseRecognizer supported languages: it, registry supported languages: en
2025-11-13 19:59:23,504 - WARNING - Recognizer not added to registry because language is not supported by registry - ItFiscalCodeRecognizer supported languages: it, registry supported languages: en
2025-11-13 19:59:23,504 - WARNING - Recognizer not added to registry because language is not supported by registry - ItVatCodeRecognizer supported languages: it, registry supported languages: en
2025-11-13 19:59:23,504 - WARNING - Recognizer not added to registry because language is not supported by registry - ItIdentityCardRecognizer supported languages: it, registry supported languages: en
2025-11-13 19:59:23,504 - WARNING - Recognizer not added to registry because language is not supported by registry - ItPassportRecognizer supported languages: it, registry supported languages: en
2025-11-13 19:59:23,504 - WARNING - Recognizer not added to registry because language is not supported by registry - PlPeselRecognizer supported languages: pl, registry supported languages: en
2025-11-13 19:59:23,766 - WARNING - Entity ORDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
2025-11-13 19:59:23,766 - WARNING - Entity FAC is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
2025-11-13 19:59:23,766 - WARNING - Entity FAC is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
2025-11-13 19:59:23,766 - WARNING - Entity ORDINAL is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
2025-11-13 19:59:23,766 - WARNING - Entity EVENT is not mapped to a Presidio entity, but keeping anyway. Add to `NerModelConfiguration.labels_to_ignore` to remove.
